"id","name","description","res_partner_id:id"
"l_book_1","The Great Gatsby","A classic novel about wealth, love, and the pursuit of the American Dream during the Roaring Twenties.","library.l_author_demo_1"
"l_book_2","To Kill a Mockingbird","A powerful story of justice, prejudice, and compassion told through the eyes of a young girl in the American South.","library.l_author_demo_2"
"l_book_3","1984","A dystopian novel depicting a totalitarian society where surveillance and propaganda control every aspect of life.","library.l_author_demo_3"
"l_book_4","Pride and Prejudice","A timeless romance exploring love, social class, and personal growth in early nineteenth-century England.","library.l_author_demo_4"
"l_book_5","The Hobbit","A fantasy adventure following Bilbo Baggins as he embarks on a dangerous quest to reclaim a lost treasure.","library.l_author_demo_5"
"l_book_6","Harry Potter and the Philosopher's Stone","The first book in the beloved series, introducing a young wizard who discovers his magical destiny.","library.l_author_demo_6"
"l_book_7","The Catcher in the Rye","A coming-of-age novel following Holden Caulfield as he struggles with identity, loneliness, and growing up.","library.l_author_demo_5"
"l_book_8","The Lord of the Rings","An epic fantasy tale about friendship, courage, and the battle against the dark forces threatening Middle-earth.","library.l_author_demo_7"
"l_book_9","The Alchemist","An inspirational novel about following one's dreams and discovering life's true purpose through a remarkable journey.","library.l_author_demo_8"
"l_book_10","The Little Prince","A philosophical novella that explores friendship, love, and the importance of seeing with the heart.","library.l_author_demo_9"
